Treatment,Dpi,Rep,Cq
S. marcescens,IL-7,9,25.33
B. subtilis,IL-7,7,21.42
B. subtilis,IL-7,8,22.04
B. subtilis,IL-7,9,21.92
Control,IL-7,7,21.12
Control,IL-7,8,21.27
Control,IL-7,9,21.36
P. fluorescens,IL-10,7,23.59
P. fluorescens,IL-10,8,23.8
P. fluorescens,IL-10,9,23.81
S. marcescens,IL-10,7,21.24
S. marcescens,IL-10,8,21.74
S. marcescens,IL-10,9,21.77
B. subtilis,IL-10,7,23.06
B. subtilis,IL-10,8,22.88
B. subtilis,IL-10,9,22.41
Control,IL-10,7,22.21
Control,IL-10,8,22.26
Control,IL-10,9,22.28
P. fluorescens,SL-7,7,33.49
P. fluorescens,SL-7,8,32.57
P. fluorescens,SL-7,9,33.1
S. marcescens,SL-7,7,30.76
S. marcescens,SL-7,8,30.21
S. marcescens,SL-7,9,31.25
B. subtilis,SL-7,7,30.8
B. subtilis,SL-7,8,31.58
B. subtilis,SL-7,9,31.33
Control,SL-7,7,25.22
Control,SL-7,8,25.55
Control,SL-7,9,25.60
P. fluorescens,SL-10,7,33.01
P. fluorescens,SL-10,8,32.76
P. fluorescens,SL-10,9,32.73
S. marcescens,SL-10,7,34.04
S. marcescens,SL-10,8,33.18
S. marcescens,SL-10,9,33.15
B. subtilis,SL-10,7,30.59
B. subtilis,SL-10,8,30.73
B. subtilis,SL-10,9,31.21
Control,SL-10,7,33.27
Control,SL-10,8,32.49
Control,SL-10,9,33.56
P. fluorescens,SL-14,7,32.1
P. fluorescens,SL-14,8,32.28
P. fluorescens,SL-14,9,32.17
S. marcescens,SL-14,7,33.31
S. marcescens,SL-14,8,33.08
S. marcescens,SL-14,9,33.35
B. subtilis,SL-14,7,34.83
B. subtilis,SL-14,8,34.04
B. subtilis,SL-14,9,34.32
Control,SL-14,7,32.51
Control,SL-14,8,33.16
Control,SL-14,9,32.26
